Что делает флаг `-it` в Docker?,Запускает контейнер в интерактивном режиме с подключением псевдотерминала (tty).
Что такое Docker Compose?,Инструмент для управления несколькими контейнерами через один конфигурационный файл.
Какая аналогия используется для описания Docker Compose?,"Дирижёр оркестра, управляющий всеми музыкантами (контейнерами) из одного места."
Как называется файл конфигурации для Docker Compose?,docker-compose.yml
Что такое Service (Сервис) в контексте Docker Compose?,"Один компонент приложения, описанный в docker-compose.yml, который запускается как один или несколько контейнеров."
Что делает директива `depends_on` в docker-compose.yml?,"Указывает порядок запуска сервисов, гарантируя, что зависимый сервис запустится раньше."
Что такое `healthcheck` в Docker Compose?,Механизм периодической проверки работоспособности приложения внутри контейнера.
"Инструкция Dockerfile, которая указывает базовый образ, от которого будет наследоваться новый образ, называется _____.",FROM
Инструкция Dockerfile `WORKDIR` что делает?,Устанавливает рабочую директорию внутри образа для последующих команд.
Инструкция Dockerfile `COPY` что делает?,Копирует файлы и папки с хост-машины в файловую систему образа.
Инструкция Dockerfile `RUN` что делает?,"Выполняет команду в новом слое во время сборки образа (например, для установки зависимостей)."
Инструкция Dockerfile `CMD` что делает?,"Задает команду по умолчанию, которая будет выполнена при запуске контейнера из этого образа."
Что на самом деле делает инструкция `EXPOSE` в Dockerfile?,"Только документирует, какой порт приложение намерено использовать; не публикует порт."
Инструкция Dockerfile `ENV` что делает?,Устанавливает переменную окружения внутри образа.
Что такое Backend в контексте веб-разработки?,"Серверная часть приложения, отвечающая за бизнес-логику, работу с данными и API."
Что такое Frontend в контексте веб-разработки?,"Клиентская часть приложения, с которой пользователь взаимодействует в браузере."
Что такое API (Application Programming Interface)?,"Интерфейс для взаимодействия программ, ""язык общения"" между frontend и backend."
"Назовите основные HTTP-методы, используемые в REST API, и их назначение.","GET (получить), POST (создать/отправить), PUT (обновить), DELETE (удалить)."
Что такое JSON?,"Текстовый формат для передачи структурированных данных, легко читаемый людьми и машинами."
Что такое Smoke Test?,"Быстрая базовая проверка, которая отвечает на вопрос ""приложение вообще запускается?""."
Что такое Unit Test?,"Тест, который проверяет одну маленькую часть кода (например, одну функцию) в изоляции."
Что такое Integration Test?,"Тест, который проверяет, как несколько компонентов системы работают вместе."
Что такое Selenium?,"Инструмент для автоматизации действий в настоящем браузере, имитирующий поведение пользователя."
Что такое pytest?,Фреймворк для написания и запуска тестов на языке Python.
Что такое fixture в pytest?,"Функция, которая подготавливает данные или состояние (например, подключение к БД) перед тестом и очищает их после."
Что такое assertion в тестировании?,"Утверждение в коде теста, которое проверяет, что определенное условие является истинным. Если нет — тест падает."
Какая команда используется для сборки Docker-образа из Dockerfile?,docker build -t имя:тег .
Какая команда показывает список всех запущенных контейнеров?,docker ps
Как посмотреть логи работающего контейнера в реальном времени?,docker logs -f <имя_контейнера>
Как зайти внутрь работающего контейнера для отладки?,docker exec -it <имя_контейнера> sh
Что делает команда `docker compose up --build`?,"Пересобирает образы, если Dockerfile изменились, и запускает все сервисы, описанные в docker-compose.yml."
Почему при использовании Docker Compose не нужно вручную создавать сеть для контейнеров?,Потому что Docker Compose автоматически создает сеть по умолчанию для всех сервисов в файле.
Как frontend-контейнер находит backend-контейнер при использовании Docker Compose?,"По имени сервиса, указанному в файле docker-compose.yml (например, 'backend')."
Какой URL используется для доступа к UI калькулятора в учебном проекте?,http://localhost:3000
Какой URL используется для доступа к Selenium Grid UI при запуске тестов?,http://localhost:4444
"В файле nginx.conf учебного проекта, что означает директива `proxy_pass http://calc-backend:8080;`?","Она перенаправляет запросы, пришедшие на определенный location, на сервис `calc-backend` на порт 8080."
